rs,numenz,numacs,Nac,Nsingle,Neq,Nneq,Kac,Ksingle,Keq,Kneq
204,0,256,256,256,0,0,256,256,0,0
76,1,131,131,131,0,0,131,131,0,0
236,1,90,90,90,0,0,90,90,0,0
108,2,90,90,49,41,0,256,49,207,0
132,2,48,48,48,0,0,48,48,0,0
140,1,48,48,48,0,0,48,48,0,0
156,2,48,48,4,44,0,256,4,252,0
4,3,47,47,47,0,0,47,47,0,0
12,2,47,47,47,0,0,47,47,0,0
77,2,46,46,46,0,0,46,46,0,0
232,2,46,46,46,0,0,46,46,0,0
164,3,22,22,22,0,0,22,22,0,0
172,2,22,22,22,0,0,22,22,0,0
36,4,21,21,21,0,0,21,21,0,0
44,3,21,21,21,0,0,21,21,0,0
72,2,21,21,21,0,0,21,21,0,0
73,3,21,21,4,17,0,131,4,127,0
104,3,13,13,13,0,0,13,13,0,0
92,2,11,11,11,0,0,11,11,0,0
94,3,11,11,11,0,0,11,11,0,0
28,3,11,11,3,8,0,35,3,32,0
5,4,10,10,10,0,0,10,10,0,0
13,3,10,10,10,0,0,10,10,0,0
29,4,10,10,2,8,0,34,2,32,0
105,4,7,7,4,3,0,256,4,252,0
150,4,7,7,4,3,0,256,4,252,0
134,3,7,7,4,0,3,256,4,0,252
142,2,7,7,4,0,3,256,4,0,252
6,4,3,3,3,0,0,3,3,0,0
14,3,3,3,3,0,0,3,3,0,0
22,5,3,3,3,0,0,3,3,0,0
30,4,3,3,3,0,0,3,3,0,0
7,5,2,2,2,0,0,2,2,0,0
15,4,2,2,2,0,0,2,2,0,0
23,6,2,2,2,0,0,2,2,0,0
160,4,2,2,2,0,0,2,2,0,0
162,5,2,2,2,0,0,2,2,0,0
166,4,2,2,2,0,0,2,2,0,0
168,3,2,2,2,0,0,2,2,0,0
170,4,2,2,2,0,0,2,2,0,0
174,3,2,2,2,0,0,2,2,0,0
178,6,2,2,2,0,0,2,2,0,0
182,5,2,2,2,0,0,2,2,0,0
184,4,2,2,2,0,0,2,2,0,0
188,3,2,2,2,0,0,2,2,0,0
190,4,2,2,2,0,0,2,2,0,0
252,2,2,2,2,0,0,2,2,0,0
254,3,2,2,2,0,0,2,2,0,0
54,6,2,2,1,1,0,256,1,255,0
60,4,2,2,1,1,0,256,1,255,0
124,3,2,2,1,1,0,48,1,47,0
126,4,2,2,1,1,0,48,1,47,0
38,5,2,2,1,0,1,256,1,0,255
46,4,2,2,1,0,1,256,1,0,255
62,5,2,2,1,0,1,256,1,0,255
0,4,1,1,1,0,0,1,1,0,0
2,5,1,1,1,0,0,1,1,0,0
8,3,1,1,1,0,0,1,1,0,0
10,4,1,1,1,0,0,1,1,0,0
18,6,1,1,1,0,0,1,1,0,0
24,4,1,1,1,0,0,1,1,0,0
26,5,1,1,1,0,0,1,1,0,0
32,5,1,1,1,0,0,1,1,0,0
34,6,1,1,1,0,0,1,1,0,0
40,4,1,1,1,0,0,1,1,0,0
42,5,1,1,1,0,0,1,1,0,0
50,7,1,1,1,0,0,1,1,0,0
56,5,1,1,1,0,0,1,1,0,0
58,6,1,1,1,0,0,1,1,0,0
88,3,1,1,1,0,0,1,1,0,0
90,4,1,1,1,0,0,1,1,0,0
120,4,1,1,1,0,0,1,1,0,0
122,5,1,1,1,0,0,1,1,0,0
1,5,1,1,0,1,0,47,0,47,0
9,4,1,1,0,1,0,47,0,47,0
51,8,1,1,0,1,0,256,0,256,0
57,6,1,1,0,1,0,256,0,256,0
3,6,1,1,0,0,1,255,0,0,255
11,5,1,1,0,0,1,255,0,0,255
19,7,1,1,0,0,1,255,0,0,255
25,5,1,1,0,0,1,255,0,0,255
27,6,1,1,0,0,1,255,0,0,255
33,6,1,1,0,0,1,256,0,0,256
35,7,1,1,0,0,1,256,0,0,256
37,5,1,1,0,0,1,255,0,0,255
41,5,1,1,0,0,1,256,0,0,256
43,6,1,1,0,0,1,256,0,0,256
45,4,1,1,0,0,1,255,0,0,255
