rs,numenz,numacs,Nac,Nsingle,Neq,Nneq,Kac,Ksingle,Keq,Kneq
204,0,32,32,32,0,0,32,32,0,0
76,1,21,21,21,0,0,21,21,0,0
236,1,17,17,17,0,0,17,17,0,0
108,2,17,17,11,6,0,32,11,21,0
132,2,12,12,12,0,0,12,12,0,0
140,1,12,12,12,0,0,12,12,0,0
232,2,12,12,12,0,0,12,12,0,0
156,2,12,12,2,10,0,32,2,30,0
4,3,11,11,11,0,0,11,11,0,0
12,2,11,11,11,0,0,11,11,0,0
77,2,10,10,10,0,0,10,10,0,0
164,3,7,7,7,0,0,7,7,0,0
172,2,7,7,7,0,0,7,7,0,0
36,4,6,6,6,0,0,6,6,0,0
44,3,6,6,6,0,0,6,6,0,0
72,2,6,6,6,0,0,6,6,0,0
92,2,6,6,6,0,0,6,6,0,0
94,3,6,6,6,0,0,6,6,0,0
104,3,6,6,6,0,0,6,6,0,0
28,3,6,6,1,5,0,11,1,10,0
73,3,6,6,0,6,0,21,0,21,0
5,4,5,5,5,0,0,5,5,0,0
13,3,5,5,5,0,0,5,5,0,0
29,4,5,5,0,5,0,10,0,10,0
150,4,4,4,2,2,0,32,2,30,0
134,3,4,4,2,0,2,32,2,0,30
142,2,4,4,2,0,2,32,2,0,30
160,4,2,2,2,0,0,2,2,0,0
162,5,2,2,2,0,0,2,2,0,0
166,4,2,2,2,0,0,2,2,0,0
168,3,2,2,2,0,0,2,2,0,0
170,4,2,2,2,0,0,2,2,0,0
174,3,2,2,2,0,0,2,2,0,0
178,6,2,2,2,0,0,2,2,0,0
182,5,2,2,2,0,0,2,2,0,0
184,4,2,2,2,0,0,2,2,0,0
188,3,2,2,2,0,0,2,2,0,0
190,4,2,2,2,0,0,2,2,0,0
252,2,2,2,2,0,0,2,2,0,0
254,3,2,2,2,0,0,2,2,0,0
22,5,2,2,1,1,0,11,1,10,0
54,6,2,2,1,1,0,32,1,31,0
60,4,2,2,1,1,0,32,1,31,0
124,3,2,2,1,1,0,12,1,11,0
126,4,2,2,1,1,0,12,1,11,0
6,4,2,2,1,0,1,11,1,0,10
14,3,2,2,1,0,1,11,1,0,10
30,4,2,2,1,0,1,11,1,0,10
38,5,2,2,1,0,1,32,1,0,31
46,4,2,2,1,0,1,32,1,0,31
62,5,2,2,1,0,1,32,1,0,31
105,4,2,2,0,2,0,32,0,32,0
0,4,1,1,1,0,0,1,1,0,0
2,5,1,1,1,0,0,1,1,0,0
8,3,1,1,1,0,0,1,1,0,0
10,4,1,1,1,0,0,1,1,0,0
18,6,1,1,1,0,0,1,1,0,0
24,4,1,1,1,0,0,1,1,0,0
26,5,1,1,1,0,0,1,1,0,0
32,5,1,1,1,0,0,1,1,0,0
34,6,1,1,1,0,0,1,1,0,0
40,4,1,1,1,0,0,1,1,0,0
42,5,1,1,1,0,0,1,1,0,0
50,7,1,1,1,0,0,1,1,0,0
56,5,1,1,1,0,0,1,1,0,0
58,6,1,1,1,0,0,1,1,0,0
88,3,1,1,1,0,0,1,1,0,0
90,4,1,1,1,0,0,1,1,0,0
120,4,1,1,1,0,0,1,1,0,0
122,5,1,1,1,0,0,1,1,0,0
1,5,1,1,0,1,0,11,0,11,0
9,4,1,1,0,1,0,11,0,11,0
23,6,1,1,0,1,0,10,0,10,0
51,8,1,1,0,1,0,32,0,32,0
57,6,1,1,0,1,0,32,0,32,0
3,6,1,1,0,0,1,31,0,0,31
7,5,1,1,0,0,1,10,0,0,10
11,5,1,1,0,0,1,31,0,0,31
15,4,1,1,0,0,1,10,0,0,10
19,7,1,1,0,0,1,31,0,0,31
25,5,1,1,0,0,1,31,0,0,31
27,6,1,1,0,0,1,31,0,0,31
33,6,1,1,0,0,1,32,0,0,32
35,7,1,1,0,0,1,32,0,0,32
37,5,1,1,0,0,1,31,0,0,31
41,5,1,1,0,0,1,32,0,0,32
43,6,1,1,0,0,1,32,0,0,32
45,4,1,1,0,0,1,31,0,0,31
