rs,numenz,numacs,Nac,Nsingle,Neq,Nneq,Kac,Ksingle,Keq,Kneq
204,0,14,16,16,0,0,16,16,0,0
76,1,9,11,11,0,0,11,11,0,0
236,1,7,10,10,0,0,10,10,0,0
108,2,7,10,9,1,0,16,9,7,0
132,2,6,8,8,0,0,8,8,0,0
140,1,6,8,8,0,0,8,8,0,0
156,2,6,8,4,4,0,16,4,12,0
4,3,5,7,7,0,0,7,7,0,0
12,2,5,7,7,0,0,7,7,0,0
77,2,5,6,6,0,0,6,6,0,0
164,3,4,6,6,0,0,6,6,0,0
172,2,4,6,6,0,0,6,6,0,0
232,2,5,6,6,0,0,6,6,0,0
36,4,3,5,5,0,0,5,5,0,0
44,3,3,5,5,0,0,5,5,0,0
72,2,3,5,5,0,0,5,5,0,0
104,3,2,5,5,0,0,5,5,0,0
73,3,3,5,4,1,0,11,4,7,0
105,4,2,5,4,1,0,16,4,12,0
150,4,5,5,4,1,0,16,4,12,0
134,3,5,5,4,0,1,16,4,0,12
142,2,5,5,4,0,1,16,4,0,12
6,4,2,3,3,0,0,3,3,0,0
14,3,2,3,3,0,0,3,3,0,0
22,5,2,3,3,0,0,3,3,0,0
28,3,3,3,3,0,0,3,3,0,0
30,4,2,3,3,0,0,3,3,0,0
92,2,3,3,3,0,0,3,3,0,0
94,3,3,3,3,0,0,3,3,0,0
5,4,2,2,2,0,0,2,2,0,0
7,5,1,2,2,0,0,2,2,0,0
13,3,2,2,2,0,0,2,2,0,0
15,4,1,2,2,0,0,2,2,0,0
23,6,1,2,2,0,0,2,2,0,0
29,4,2,2,2,0,0,2,2,0,0
160,4,2,2,2,0,0,2,2,0,0
162,5,2,2,2,0,0,2,2,0,0
166,4,2,2,2,0,0,2,2,0,0
168,3,2,2,2,0,0,2,2,0,0
170,4,2,2,2,0,0,2,2,0,0
174,3,2,2,2,0,0,2,2,0,0
178,6,2,2,2,0,0,2,2,0,0
182,5,2,2,2,0,0,2,2,0,0
184,4,2,2,2,0,0,2,2,0,0
188,3,2,2,2,0,0,2,2,0,0
190,4,2,2,2,0,0,2,2,0,0
252,2,2,2,2,0,0,2,2,0,0
254,3,2,2,2,0,0,2,2,0,0
54,6,2,2,1,1,0,16,1,15,0
60,4,2,2,1,1,0,16,1,15,0
124,3,2,2,1,1,0,8,1,7,0
126,4,2,2,1,1,0,8,1,7,0
38,5,2,2,1,0,1,16,1,0,15
46,4,2,2,1,0,1,16,1,0,15
62,5,2,2,1,0,1,16,1,0,15
0,4,1,1,1,0,0,1,1,0,0
2,5,1,1,1,0,0,1,1,0,0
8,3,1,1,1,0,0,1,1,0,0
10,4,1,1,1,0,0,1,1,0,0
18,6,1,1,1,0,0,1,1,0,0
24,4,1,1,1,0,0,1,1,0,0
26,5,1,1,1,0,0,1,1,0,0
32,5,1,1,1,0,0,1,1,0,0
34,6,1,1,1,0,0,1,1,0,0
40,4,1,1,1,0,0,1,1,0,0
42,5,1,1,1,0,0,1,1,0,0
50,7,1,1,1,0,0,1,1,0,0
56,5,1,1,1,0,0,1,1,0,0
58,6,1,1,1,0,0,1,1,0,0
88,3,2,1,1,0,0,1,1,0,0
90,4,2,1,1,0,0,1,1,0,0
120,4,1,1,1,0,0,1,1,0,0
122,5,1,1,1,0,0,1,1,0,0
1,5,1,1,0,1,0,7,0,7,0
9,4,1,1,0,1,0,7,0,7,0
51,8,1,1,0,1,0,16,0,16,0
57,6,1,1,0,1,0,16,0,16,0
3,6,1,1,0,0,1,15,0,0,15
11,5,1,1,0,0,1,15,0,0,15
19,7,1,1,0,0,1,15,0,0,15
25,5,1,1,0,0,1,15,0,0,15
27,6,1,1,0,0,1,15,0,0,15
33,6,1,1,0,0,1,16,0,0,16
35,7,1,1,0,0,1,16,0,0,16
37,5,1,1,0,0,1,15,0,0,15
41,5,1,1,0,0,1,16,0,0,16
43,6,1,1,0,0,1,16,0,0,16
45,4,1,1,0,0,1,15,0,0,15
