rs,numenz,numacs,Nac,Nsingle,Neq,Nneq,Kac,Ksingle,Keq,Kneq
204,0,14,128,128,0,0,128,128,0,0
76,1,9,71,71,0,0,71,71,0,0
236,1,7,51,51,0,0,51,51,0,0
108,2,7,51,29,22,0,128,29,99,0
132,2,6,30,30,0,0,30,30,0,0
140,1,6,30,30,0,0,30,30,0,0
232,2,5,30,30,0,0,30,30,0,0
156,2,6,30,2,28,0,128,2,126,0
4,3,5,29,29,0,0,29,29,0,0
12,2,5,29,29,0,0,29,29,0,0
77,2,5,28,28,0,0,28,28,0,0
164,3,4,16,16,0,0,16,16,0,0
172,2,4,16,16,0,0,16,16,0,0
36,4,3,15,15,0,0,15,15,0,0
44,3,3,15,15,0,0,15,15,0,0
72,2,3,15,15,0,0,15,15,0,0
73,3,3,15,7,8,0,71,7,64,0
92,2,3,8,8,0,0,8,8,0,0
94,3,3,8,8,0,0,8,8,0,0
104,3,2,8,8,0,0,8,8,0,0
28,3,3,8,1,7,0,15,1,14,0
5,4,2,7,7,0,0,7,7,0,0
13,3,2,7,7,0,0,7,7,0,0
29,4,2,7,0,7,0,14,0,14,0
150,4,5,5,2,3,0,128,2,126,0
134,3,5,5,2,0,3,128,2,0,126
142,2,5,5,2,0,3,128,2,0,126
160,4,2,2,2,0,0,2,2,0,0
162,5,2,2,2,0,0,2,2,0,0
166,4,2,2,2,0,0,2,2,0,0
168,3,2,2,2,0,0,2,2,0,0
170,4,2,2,2,0,0,2,2,0,0
174,3,2,2,2,0,0,2,2,0,0
178,6,2,2,2,0,0,2,2,0,0
182,5,2,2,2,0,0,2,2,0,0
184,4,2,2,2,0,0,2,2,0,0
188,3,2,2,2,0,0,2,2,0,0
190,4,2,2,2,0,0,2,2,0,0
252,2,2,2,2,0,0,2,2,0,0
254,3,2,2,2,0,0,2,2,0,0
22,5,2,2,1,1,0,15,1,14,0
54,6,2,2,1,1,0,128,1,127,0
60,4,2,2,1,1,0,128,1,127,0
124,3,2,2,1,1,0,30,1,29,0
126,4,2,2,1,1,0,30,1,29,0
6,4,2,2,1,0,1,15,1,0,14
14,3,2,2,1,0,1,15,1,0,14
30,4,2,2,1,0,1,15,1,0,14
38,5,2,2,1,0,1,128,1,0,127
46,4,2,2,1,0,1,128,1,0,127
62,5,2,2,1,0,1,128,1,0,127
105,4,2,2,0,2,0,128,0,128,0
0,4,1,1,1,0,0,1,1,0,0
2,5,1,1,1,0,0,1,1,0,0
8,3,1,1,1,0,0,1,1,0,0
10,4,1,1,1,0,0,1,1,0,0
18,6,1,1,1,0,0,1,1,0,0
24,4,1,1,1,0,0,1,1,0,0
26,5,1,1,1,0,0,1,1,0,0
32,5,1,1,1,0,0,1,1,0,0
34,6,1,1,1,0,0,1,1,0,0
40,4,1,1,1,0,0,1,1,0,0
42,5,1,1,1,0,0,1,1,0,0
50,7,1,1,1,0,0,1,1,0,0
56,5,1,1,1,0,0,1,1,0,0
58,6,1,1,1,0,0,1,1,0,0
88,3,2,1,1,0,0,1,1,0,0
90,4,2,1,1,0,0,1,1,0,0
120,4,1,1,1,0,0,1,1,0,0
122,5,1,1,1,0,0,1,1,0,0
1,5,1,1,0,1,0,29,0,29,0
9,4,1,1,0,1,0,29,0,29,0
23,6,1,1,0,1,0,14,0,14,0
51,8,1,1,0,1,0,128,0,128,0
57,6,1,1,0,1,0,128,0,128,0
3,6,1,1,0,0,1,127,0,0,127
7,5,1,1,0,0,1,14,0,0,14
11,5,1,1,0,0,1,127,0,0,127
15,4,1,1,0,0,1,14,0,0,14
19,7,1,1,0,0,1,127,0,0,127
25,5,1,1,0,0,1,127,0,0,127
27,6,1,1,0,0,1,127,0,0,127
33,6,1,1,0,0,1,128,0,0,128
35,7,1,1,0,0,1,128,0,0,128
37,5,1,1,0,0,1,127,0,0,127
41,5,1,1,0,0,1,128,0,0,128
43,6,1,1,0,0,1,128,0,0,128
45,4,1,1,0,0,1,127,0,0,127
